Size,n,freq,Simulation
585,4,8.695652173913043,1854
645,2,4.3478260869565215,1854
675,1,2.1739130434782608,1854
705,4,8.695652173913043,1854
735,3,6.521739130434782,1854
795,1,2.1739130434782608,1854
825,1,2.1739130434782608,1854
855,1,2.1739130434782608,1854
885,1,2.1739130434782608,1854
945,2,4.3478260869565215,1854
975,1,2.1739130434782608,1854
1005,1,2.1739130434782608,1855
1125,1,2.1739130434782608,1855
1215,1,2.1739130434782608,1855
1395,1,2.1739130434782608,1855
1425,1,2.1739130434782608,1855
315,1,2.1739130434782608,1855
345,2,4.3478260869565215,1855
375,1,2.1739130434782608,1855
405,2,4.3478260869565215,1855
435,2,4.3478260869565215,1855
465,1,2.1739130434782608,1855
495,3,6.521739130434782,1855
525,1,2.1739130434782608,1855
555,5,10.869565217391305,1855
615,2,4.3478260869565215,1855
645,3,6.521739130434782,1855
675,4,8.695652173913043,1855
705,3,6.521739130434782,1855
735,2,4.3478260869565215,1855
765,1,2.1739130434782608,1855
795,1,2.1739130434782608,1855
825,4,8.695652173913043,1855
855,1,2.1739130434782608,1855
915,1,2.1739130434782608,1855
975,1,2.1739130434782608,1855
1065,3,6.521739130434782,1856
1125,1,2.1739130434782608,1856
1155,1,2.1739130434782608,1856
1395,1,2.1739130434782608,1856
315,1,2.1739130434782608,1856
345,2,4.3478260869565215,1856
375,4,8.695652173913043,1856
405,1,2.1739130434782608,1856
435,1,2.1739130434782608,1856
465,1,2.1739130434782608,1856
495,2,4.3478260869565215,1856
525,2,4.3478260869565215,1856
555,1,2.1739130434782608,1856
585,7,15.217391304347828,1856
615,6,13.043478260869565,1856
645,4,8.695652173913043,1856
675,2,4.3478260869565215,1856
705,3,6.521739130434782,1856
885,1,2.1739130434782608,1856
915,1,2.1739130434782608,1856
975,1,2.1739130434782608,1856
1005,1,2.1739130434782608,1857
1035,2,4.3478260869565215,1857
1095,1,2.1739130434782608,1857
1335,3,6.521739130434782,1857
1995,1,2.1739130434782608,1857
315,2,4.3478260869565215,1857
345,1,2.1739130434782608,1857
