Size,n,freq,Simulation
405,6,13.043478260869565,9
435,1,2.1739130434782608,9
465,4,8.695652173913043,9
495,2,4.3478260869565215,9
525,2,4.3478260869565215,9
555,3,6.521739130434782,9
585,2,4.3478260869565215,9
615,2,4.3478260869565215,9
705,2,4.3478260869565215,9
1095,1,2.1739130434782608,10
315,8,17.391304347826086,10
345,7,15.217391304347828,10
375,1,2.1739130434782608,10
405,2,4.3478260869565215,10
435,4,8.695652173913043,10
465,6,13.043478260869565,10
495,2,4.3478260869565215,10
525,2,4.3478260869565215,10
555,3,6.521739130434782,10
585,2,4.3478260869565215,10
615,2,4.3478260869565215,10
645,1,2.1739130434782608,10
675,1,2.1739130434782608,10
735,3,6.521739130434782,10
945,1,2.1739130434782608,10
315,7,15.217391304347828,11
345,6,13.043478260869565,11
375,5,10.869565217391305,11
405,5,10.869565217391305,11
435,4,8.695652173913043,11
465,4,8.695652173913043,11
525,5,10.869565217391305,11
555,5,10.869565217391305,11
615,2,4.3478260869565215,11
675,1,2.1739130434782608,11
735,1,2.1739130434782608,11
765,1,2.1739130434782608,11
1155,1,2.1739130434782608,12
315,4,8.695652173913043,12
345,5,10.869565217391305,12
375,7,15.217391304347828,12
405,9,19.565217391304348,12
435,2,4.3478260869565215,12
465,3,6.521739130434782,12
495,3,6.521739130434782,12
525,2,4.3478260869565215,12
555,3,6.521739130434782,12
585,3,6.521739130434782,12
645,1,2.1739130434782608,12
675,2,4.3478260869565215,12
885,1,2.1739130434782608,12
315,5,10.869565217391305,13
345,8,17.391304347826086,13
375,4,8.695652173913043,13
405,6,13.043478260869565,13
435,2,4.3478260869565215,13
465,3,6.521739130434782,13
495,2,4.3478260869565215,13
525,1,2.1739130434782608,13
555,5,10.869565217391305,13
615,1,2.1739130434782608,13
645,4,8.695652173913043,13
675,2,4.3478260869565215,13
705,1,2.1739130434782608,13
735,1,2.1739130434782608,13
765,1,2.1739130434782608,13
1305,1,2.1739130434782608,14
315,4,8.695652173913043,14
345,10,21.73913043478261,14
375,5,10.869565217391305,14
405,2,4.3478260869565215,14
465,8,17.391304347826086,14
495,1,2.1739130434782608,14
525,2,4.3478260869565215,14
555,4,8.695652173913043,14
585,2,4.3478260869565215,14
615,1,2.1739130434782608,14
645,1,2.1739130434782608,14
675,3,6.521739130434782,14
705,1,2.1739130434782608,14
735,1,2.1739130434782608,14
1035,1,2.1739130434782608,15
315,9,19.565217391304348,15
345,4,8.695652173913043,15
375,4,8.695652173913043,15
405,5,10.869565217391305,15
435,5,10.869565217391305,15
465,4,8.695652173913043,15
495,2,4.3478260869565215,15
525,2,4.3478260869565215,15
555,2,4.3478260869565215,15
585,3,6.521739130434782,15
615,1,2.1739130434782608,15
645,3,6.521739130434782,15
735,1,2.1739130434782608,15
315,9,19.565217391304348,16
345,5,10.869565217391305,16
375,4,8.695652173913043,16
405,3,6.521739130434782,16
435,5,10.869565217391305,16
465,2,4.3478260869565215,16
495,1,2.1739130434782608,16
555,2,4.3478260869565215,16
585,1,2.1739130434782608,16
615,1,2.1739130434782608,16
645,5,10.869565217391305,16
675,2,4.3478260869565215,16
705,1,2.1739130434782608,16
735,2,4.3478260869565215,16
795,1,2.1739130434782608,16
855,2,4.3478260869565215,16
1065,1,2.1739130434782608,17
315,5,10.869565217391305,17
345,4,8.695652173913043,17
375,7,15.217391304347828,17
405,7,15.217391304347828,17
435,1,2.1739130434782608,17
495,4,8.695652173913043,17
525,5,10.869565217391305,17
555,1,2.1739130434782608,17
585,2,4.3478260869565215,17
615,1,2.1739130434782608,17
645,2,4.3478260869565215,17
675,1,2.1739130434782608,17
735,2,4.3478260869565215,17
765,2,4.3478260869565215,17
885,1,2.1739130434782608,17
1125,1,2.1739130434782608,18
315,10,21.73913043478261,18
345,6,13.043478260869565,18
375,7,15.217391304347828,18
405,2,4.3478260869565215,18
435,6,13.043478260869565,18
465,2,4.3478260869565215,18
525,4,8.695652173913043,18
555,2,4.3478260869565215,18
585,2,4.3478260869565215,18
615,1,2.1739130434782608,18
645,1,2.1739130434782608,18
675,2,4.3478260869565215,18
315,9,19.565217391304348,19
345,5,10.869565217391305,19
375,11,23.91304347826087,19
435,2,4.3478260869565215,19
465,2,4.3478260869565215,19
495,5,10.869565217391305,19
