Size,n,freq,Simulation
405,7,10.144927536231885,1800
435,4,5.797101449275362,1800
465,6,8.695652173913043,1800
495,3,4.3478260869565215,1800
525,5,7.246376811594203,1800
555,3,4.3478260869565215,1800
585,2,2.898550724637681,1800
615,3,4.3478260869565215,1800
645,2,2.898550724637681,1800
675,5,7.246376811594203,1800
705,1,1.4492753623188406,1800
735,1,1.4492753623188406,1800
765,2,2.898550724637681,1800
1005,1,1.4492753623188406,1801
315,14,20.28985507246377,1801
345,8,11.594202898550725,1801
375,8,11.594202898550725,1801
405,2,2.898550724637681,1801
435,5,7.246376811594203,1801
465,8,11.594202898550725,1801
495,1,1.4492753623188406,1801
525,2,2.898550724637681,1801
555,5,7.246376811594203,1801
645,4,5.797101449275362,1801
675,1,1.4492753623188406,1801
705,2,2.898550724637681,1801
735,2,2.898550724637681,1801
765,2,2.898550724637681,1801
855,2,2.898550724637681,1801
915,1,1.4492753623188406,1801
975,1,1.4492753623188406,1801
1095,1,1.4492753623188406,1802
315,15,21.73913043478261,1802
345,5,7.246376811594203,1802
375,5,7.246376811594203,1802
405,7,10.144927536231885,1802
435,1,1.4492753623188406,1802
465,9,13.043478260869565,1802
495,5,7.246376811594203,1802
525,5,7.246376811594203,1802
555,5,7.246376811594203,1802
585,3,4.3478260869565215,1802
615,2,2.898550724637681,1802
645,3,4.3478260869565215,1802
735,1,1.4492753623188406,1802
765,1,1.4492753623188406,1802
945,1,1.4492753623188406,1802
315,14,20.28985507246377,1803
345,4,5.797101449275362,1803
375,9,13.043478260869565,1803
405,4,5.797101449275362,1803
435,5,7.246376811594203,1803
465,5,7.246376811594203,1803
495,2,2.898550724637681,1803
525,5,7.246376811594203,1803
555,2,2.898550724637681,1803
585,2,2.898550724637681,1803
615,3,4.3478260869565215,1803
645,4,5.797101449275362,1803
675,2,2.898550724637681,1803
705,2,2.898550724637681,1803
765,1,1.4492753623188406,1803
795,2,2.898550724637681,1803
885,1,1.4492753623188406,1803
945,2,2.898550724637681,1803
315,10,14.492753623188406,1804
345,8,11.594202898550725,1804
375,5,7.246376811594203,1804
405,8,11.594202898550725,1804
435,2,2.898550724637681,1804
465,4,5.797101449275362,1804
495,7,10.144927536231885,1804
525,3,4.3478260869565215,1804
555,4,5.797101449275362,1804
585,2,2.898550724637681,1804
615,5,7.246376811594203,1804
645,1,1.4492753623188406,1804
675,3,4.3478260869565215,1804
705,2,2.898550724637681,1804
735,1,1.4492753623188406,1804
795,1,1.4492753623188406,1804
825,1,1.4492753623188406,1804
885,1,1.4492753623188406,1804
915,1,1.4492753623188406,1804
1005,1,1.4492753623188406,1805
1035,1,1.4492753623188406,1805
1155,1,1.4492753623188406,1805
315,14,20.28985507246377,1805
345,10,14.492753623188406,1805
375,6,8.695652173913043,1805
405,5,7.246376811594203,1805
435,1,1.4492753623188406,1805
465,4,5.797101449275362,1805
495,6,8.695652173913043,1805
525,3,4.3478260869565215,1805
555,4,5.797101449275362,1805
585,1,1.4492753623188406,1805
615,5,7.246376811594203,1805
645,2,2.898550724637681,1805
675,3,4.3478260869565215,1805
765,2,2.898550724637681,1805
1035,1,1.4492753623188406,1806
315,14,20.28985507246377,1806
345,10,14.492753623188406,1806
375,6,8.695652173913043,1806
405,8,11.594202898550725,1806
435,6,8.695652173913043,1806
465,3,4.3478260869565215,1806
495,2,2.898550724637681,1806
525,5,7.246376811594203,1806
555,2,2.898550724637681,1806
585,1,1.4492753623188406,1806
615,1,1.4492753623188406,1806
645,1,1.4492753623188406,1806
675,3,4.3478260869565215,1806
765,1,1.4492753623188406,1806
795,1,1.4492753623188406,1806
825,2,2.898550724637681,1806
945,2,2.898550724637681,1806
315,11,15.942028985507244,1807
345,17,24.637681159420293,1807
375,7,10.144927536231885,1807
405,3,4.3478260869565215,1807
435,2,2.898550724637681,1807
465,11,15.942028985507244,1807
495,2,2.898550724637681,1807
525,2,2.898550724637681,1807
555,3,4.3478260869565215,1807
585,1,1.4492753623188406,1807
615,1,1.4492753623188406,1807
645,1,1.4492753623188406,1807
675,1,1.4492753623188406,1807
795,2,2.898550724637681,1807
825,1,1.4492753623188406,1807
855,1,1.4492753623188406,1807
915,2,2.898550724637681,1807
945,1,1.4492753623188406,1807
315,8,11.594202898550725,1808
345,7,10.144927536231885,1808
375,10,14.492753623188406,1808
405,6,8.695652173913043,1808
435,8,11.594202898550725,1808
465,4,5.797101449275362,1808
495,7,10.144927536231885,1808
525,3,4.3478260869565215,1808
555,3,4.3478260869565215,1808
585,4,5.797101449275362,1808
615,3,4.3478260869565215,1808
675,1,1.4492753623188406,1808
705,1,1.4492753623188406,1808
735,2,2.898550724637681,1808
765,2,2.898550724637681,1808
315,11,15.942028985507244,1809
345,6,8.695652173913043,1809
375,10,14.492753623188406,1809
405,9,13.043478260869565,1809
435,7,10.144927536231885,1809
465,5,7.246376811594203,1809
495,2,2.898550724637681,1809
525,3,4.3478260869565215,1809
555,4,5.797101449275362,1809
585,1,1.4492753623188406,1809
615,3,4.3478260869565215,1809
675,2,2.898550724637681,1809
735,1,1.4492753623188406,1809
765,2,2.898550724637681,1809
795,2,2.898550724637681,1809
825,1,1.4492753623188406,1809
315,17,24.637681159420293,1810
345,5,7.246376811594203,1810
375,11,15.942028985507244,1810
405,7,10.144927536231885,1810
435,4,5.797101449275362,1810
465,3,4.3478260869565215,1810
